  25 130,9,9
  25 130,4,248
  25 130,3,0
  25 130,22,239
  25 130,0,248
  25 13,242,33
  25 129,3,248
  25 128,2,251
  25 128,115,0
  25 127,1,253
  25 127,0,5
  25 127,0,252
  25 127,0,11
  25 126,1,253
  25 125,3,252
  25 124,7,250
  25 124,6,250
  25 124,234,0
  25 124,217,0
  25 123,8,249
  25 123,15,247
  25 122,17,246
  25 121,30,243
  25 121,28,244
  25 121,26,244
  25 121,25,244
  25 121,24,244
  25 12,243,33
  25 12,243,32
  25 12,0,36
  25 119,45,240
  25 119,43,241
  25 119,43,240
  25 118,63,237
  25 118,62,237
  25 118,61,238
  25 118,60,238
  25 118,52,239
  25 117,77,236
  25 117,76,236
  25 117,74,236
  25 117,71,236
  25 117,68,237
  25 117,53,236
  25 117,0,5
  25 116,96,235
  25 116,90,234
